test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
29,0.003795,90.28,89.53,90.49,88.59,90.18,0.009893,72.64,72.9,95.12,59.09,77.05,0.698868,0.0,0.0,0.0,0.0,50.0
30,0.004344,89.07,88.13,89.52,86.78,88.93,0.007602,84.91,87.3,91.67,83.33,85.42,0.039941,64.81,61.22,68.18,55.56,64.81
31,0.002554,93.62,93.27,93.48,93.07,93.6,0.003367,91.51,93.02,95.24,90.91,91.7,0.027517,69.23,56.52,40.62,92.86,77.8
32,0.002897,92.62,92.01,93.3,90.76,92.51,0.009656,80.19,83.2,88.14,78.79,80.64,0.686541,50.0,0.0,0.0,0.0,50.0
34,0.002803,93.19,92.61,93.62,91.61,93.09,0.007585,80.19,82.35,92.45,74.24,82.12,0.032678,69.23,71.43,100.0,55.56,77.78
35,0.004344,89.22,88.28,90.1,86.53,89.06,0.01365,64.15,67.8,76.92,60.61,65.3,0.115483,41.67,22.22,16.67,33.33,38.89
36,0.002823,93.5,92.95,94.58,91.39,93.38,0.005906,89.62,90.91,100.0,83.33,91.67,0.065221,63.64,62.5,52.63,76.92,65.96
37,0.003109,92.1,91.39,92.64,90.17,91.97,0.012856,75.47,75.47,100.0,60.61,80.3,0.013589,79.35,81.9,78.18,86.0,78.71
38,0.004199,89.63,88.7,91.1,86.42,89.45,0.009185,77.36,79.31,92.0,69.7,79.85,0.022735,58.82,46.15,50.0,42.86,56.43
39,0.002045,94.71,94.41,94.58,94.24,94.69,0.004952,88.68,90.32,96.55,84.85,89.92,0.073855,64.04,55.56,45.45,71.43,66.04
43,0.003506,91.78,90.89,93.35,88.56,91.56,0.014061,74.53,75.68,93.33,63.64,78.07,0.015308,94.52,95.45,100.0,91.3,95.65
44,0.003316,91.46,90.88,92.07,89.73,91.37,0.00794,80.19,82.35,92.45,74.24,82.12,0.01749,78.68,75.29,69.57,82.05,79.26
45,0.003818,90.78,89.71,90.91,88.54,90.59,0.023906,71.7,70.59,100.0,54.55,77.27,0.005621,100.0,100.0,100.0,100.0,100.0
46,0.004569,87.91,87.21,89.29,85.22,87.83,0.006222,81.13,83.05,94.23,74.24,83.37,0.023765,61.45,53.62,38.95,86.05,69.45
48,0.004483,88.28,87.24,88.49,86.02,88.14,0.01498,69.81,71.43,86.96,60.61,72.8,0.051231,58.91,58.91,60.32,57.58,58.95
49,0.003509,90.89,90.11,92.18,88.14,90.74,0.007175,79.25,81.36,92.31,72.73,81.36,0.007571,82.86,80.85,74.51,88.37,83.7
50,0.002883,93.13,92.58,93.75,91.45,93.03,0.005799,85.85,87.6,96.36,80.3,87.65,0.006614,94.38,94.12,88.89,100.0,94.9
51,0.004613,88.12,87.02,89.06,85.08,87.94,0.007941,82.08,84.3,92.73,77.27,83.64,0.024066,69.77,64.86,70.59,60.0,69.13
52,0.003468,91.56,90.91,92.54,89.33,91.44,0.005009,90.57,92.54,91.18,93.94,89.47,0.007922,74.77,73.58,60.94,92.86,78.31
53,0.004441,89.19,88.21,90.34,86.18,89.02,0.017329,73.58,73.58,97.5,59.09,78.3,0.012097,79.73,74.58,81.48,68.75,78.42
54,0.003686,91.01,90.31,91.89,88.79,90.9,0.011091,78.3,80.0,93.88,69.7,81.1,0.01163,78.5,74.73,69.39,80.95,78.94
55,0.003287,92.17,91.35,93.42,89.38,91.98,0.010609,77.36,79.66,90.38,71.21,79.36,0.008049,86.57,88.89,82.76,96.0,85.29
56,0.003267,92.1,91.29,92.84,89.79,91.93,0.00475,87.74,89.6,94.92,84.85,88.67,0.005244,87.93,90.28,89.04,91.55,86.89
57,0.003952,90.31,89.42,91.06,87.85,90.15,0.009025,80.19,81.74,95.92,71.21,83.11,0.003247,95.08,95.0,96.61,93.44,95.08
58,0.003067,92.45,91.77,93.7,89.92,92.3,0.00695,76.42,76.64,100.0,62.12,81.06,0.004148,89.32,87.64,95.12,81.25,88.81
59,0.003907,90.13,89.22,89.84,88.62,90.02,0.015566,78.3,81.3,87.72,75.76,79.13,0.015011,84.38,91.53,100.0,84.38,50.0
60,0.004455,88.24,87.36,88.57,86.19,88.13,0.005732,88.68,90.77,92.19,89.39,88.45,0.020782,73.91,70.97,57.89,91.67,78.06
61,0.003675,90.58,89.73,91.8,87.75,90.41,0.005517,86.79,89.23,90.62,87.88,86.44,0.013064,63.64,66.67,55.81,82.76,65.7
63,0.004303,89.99,88.85,91.27,86.55,89.74,0.006065,83.96,85.22,100.0,74.24,87.12,0.004527,91.27,92.99,90.12,96.05,90.03
Average,0.003625,90.97,90.18,91.72,88.71,90.83,0.009321,80.38,82.04,93.47,73.88,82.5,0.070132,72.64,68.53,66.68,73.78,74.24
