fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,29,train,1,0.019662307376570792,58.38483724763081,56.65236051502146,55.41561712846348,57.94556628621598,58.359429105840896
1,29,val,1,0.01697552316593674,60.37735849056604,53.333333333333336,100.0,36.36363636363637,68.18181818181819
1,29,train,2,0.0122882102834476,67.36711990111249,65.56521739130434,64.94401378122309,66.19841966637401,67.29952039219322
1,29,val,2,0.009893351849519982,72.64150943396226,72.89719626168225,95.1219512195122,59.09090909090909,77.04545454545453
1,29,train,3,0.009457416442573242,73.75360527400082,72.21979938944614,71.75043327556327,72.69534679543459,73.69239389461171
1,29,val,3,0.016291699319515587,66.0377358490566,63.26530612244898,96.875,46.96969696969697,72.23484848484848
1,29,train,4,0.007616419518588254,78.65677791512155,77.59515570934255,76.47058823529412,78.75329236172081,78.6623604665747
1,29,val,4,0.017430916147411993,71.69811320754717,70.58823529411764,100.0,54.54545454545454,77.27272727272727
1,29,train,5,0.007333359012988845,79.93407498969923,78.64971503726436,78.54640980735552,78.75329236172081,79.865776615643
1,29,val,5,0.01791368453007824,70.75471698113208,69.3069306930693,100.0,53.03030303030303,76.51515151515152
1,29,train,6,0.00620239912898736,81.74701277297075,80.45875606528452,80.85106382978722,80.0702370500439,81.65002535732009
1,29,val,6,0.015634108264491242,69.81132075471697,68.0,100.0,51.515151515151516,75.75757575757575
1,29,train,7,0.0060657009476243985,84.26040379068809,83.14210061782877,83.58473824312334,82.70412642669008,84.17038619471148
1,29,val,7,0.016298020785709598,75.47169811320755,75.47169811320755,100.0,60.60606060606061,80.3030303030303
1,29,train,8,0.005427648955330615,86.07334157395961,84.8294434470377,86.77685950413223,82.9675153643547,85.89369557037611
1,29,val,8,0.014689560768739233,72.64150943396226,73.39449541284402,93.02325581395348,60.60606060606061,76.5530303030303
1,29,train,9,0.0051790501202483895,85.86732591676967,84.89652135623074,85.15901060070671,84.63564530289727,85.79608352101384
1,29,val,9,0.030069743687251828,69.81132075471697,68.0,100.0,51.515151515151516,75.75757575757575
1,29,train,10,0.004985441266876413,87.76266996291719,86.66367310282892,88.69485294117648,84.72344161545216,87.58687608722917
1,29,val,10,0.015587312995262866,73.58490566037736,75.43859649122807,89.58333333333334,65.15151515151516,76.32575757575756
1,29,train,11,0.004714175076410021,87.88627935723115,86.875,88.37420526793824,85.42581211589113,87.74396195856669
1,29,val,11,0.019263153368572018,74.52830188679245,75.67567567567568,93.33333333333333,63.63636363636363,78.06818181818181
1,29,train,12,0.004865636022974053,88.0922950144211,87.1953921134249,88.01431127012522,86.39157155399472,87.9939224229601
1,29,val,12,0.01232286219326955,71.69811320754717,70.58823529411764,100.0,54.54545454545454,77.27272727272727
1,29,train,13,0.004208690696750888,89.28718582612278,88.39285714285714,89.91825613079018,86.91834942932397,89.15016850348186
1,29,val,13,0.011798027551399087,72.64150943396226,72.38095238095238,97.43589743589743,57.57575757575758,77.53787878787878
1,29,train,14,0.0043802348905303224,89.16357643180882,88.4191985909291,88.69257950530034,88.14749780509219,89.10480480316721
1,29,val,14,0.021771599661629153,74.52830188679245,75.67567567567568,93.33333333333333,63.63636363636363,78.06818181818181
1,29,train,15,0.004026422326978362,89.9876390605686,89.1177787729512,90.95063985374772,87.35733099209834,89.83549779418581
1,29,val,15,0.021350147589197697,76.41509433962264,76.6355140186916,100.0,62.121212121212125,81.06060606060606
1,29,train,16,0.0038771600660886794,90.93531108364236,90.18733273862622,91.65911151405258,88.7620719929763,90.80960742505958
1,29,val,16,0.012501536675219267,70.75471698113208,69.3069306930693,100.0,53.03030303030303,76.51515151515152
1,29,train,17,0.00379526085282826,90.27606098063453,89.52972493345163,90.49327354260089,88.58647936786654,90.17833285163513
1,29,val,17,0.02749224485091443,74.52830188679245,75.22935779816513,95.34883720930233,62.121212121212125,78.56060606060605
1,29,test,best,0.6988677978515625,0.0,0.0,0.0,0.0,50.0
2,30,train,1,0.02389334269359664,61.28625472887768,59.44517833553501,58.23986194995686,60.701438848920866,61.25048264466565
2,30,val,1,0.007601668249885991,84.90566037735849,87.30158730158729,91.66666666666666,83.33333333333334,85.41666666666667
2,30,train,2,0.013328525988982475,67.17108028583438,65.7606313020605,64.1573994867408,67.44604316546763,67.1878992465065
2,30,val,2,0.01607439709159563,60.37735849056604,55.319148936170215,92.85714285714286,39.39393939393939,67.1969696969697
2,30,train,3,0.01032482074458542,71.29045817570407,69.84547461368655,68.60364267129229,71.13309352517986,71.28083247687564
2,30,val,3,0.013871402673001559,61.32075471698113,56.84210526315789,93.10344827586206,40.909090909090914,67.95454545454545
2,30,train,4,0.008288391451216286,78.01597309794032,76.45204862674471,76.55545536519386,76.34892086330936,77.91400265738476
2,30,val,4,0.007672104633079385,79.24528301886792,81.0344827586207,94.0,71.21212121212122,81.85606060606061
2,30,train,5,0.00751602881442804,78.85666246321983,77.41356084418499,77.30941704035874,77.51798561151078,78.77477812540812
2,30,val,5,0.014432523610456934,70.75471698113208,69.3069306930693,100.0,53.03030303030303,76.51515151515152
2,30,train,6,0.00657957569923457,81.84110970996217,80.73148974130241,80.08849557522124,81.38489208633094,81.81320373850879
2,30,val,6,0.009239241199673346,75.47169811320755,77.19298245614034,91.66666666666666,66.66666666666666,78.33333333333333
2,30,train,7,0.0061123506355907,84.02690205968895,82.60073260073258,84.14179104477611,81.11510791366906,83.84879310442727
2,30,val,7,0.008208860766212895,79.24528301886792,80.70175438596493,95.83333333333334,69.6969696969697,82.34848484848484
2,30,train,8,0.005496963670695715,86.04455653635982,84.82632541133455,86.2453531598513,83.45323741007195,85.8860504335285
2,30,val,8,0.008480439489742494,78.30188679245283,79.64601769911505,95.74468085106383,68.18181818181817,81.59090909090908
2,30,train,9,0.005212602187175118,86.38083228247163,85.05535055350552,87.31060606060606,82.91366906474819,86.1687524487119
2,30,val,9,0.012307851663175618,79.24528301886792,80.35714285714285,97.82608695652173,68.18181818181817,82.8409090909091
2,30,train,10,0.005216063753854031,86.38083228247163,85.16483516483517,86.75373134328358,83.63309352517986,86.21275828587326
2,30,val,10,0.01772681216024003,78.30188679245283,78.89908256880734,100.0,65.15151515151516,82.57575757575756
2,30,train,11,0.004926105290212868,87.76796973518285,86.82661837935719,87.42023701002735,86.2410071942446,87.67456831693286
2,30,val,11,0.009027240973598551,80.18867924528303,81.08108108108108,100.0,68.18181818181817,84.09090909090908
2,30,train,12,0.005272833996081663,88.31441782261454,87.12962962962963,89.79007633587787,84.62230215827337,88.0885780720333
2,30,val,12,0.010106725793964457,78.30188679245283,79.64601769911505,95.74468085106383,68.18181818181817,81.59090909090908
2,30,train,13,0.005382373183652501,86.04455653635982,85.01805054151625,85.32608695652173,84.71223021582733,85.96306064856087
2,30,val,13,0.011665227278223578,80.18867924528303,81.08108108108108,100.0,68.18181818181817,84.09090909090908
2,30,train,14,0.004333330145299109,89.281210592686,88.26507132995857,90.38642789820923,86.2410071942446,89.09524708567794
2,30,val,14,0.011061025115678896,78.30188679245283,78.89908256880734,100.0,65.15151515151516,82.57575757575756
2,30,train,15,0.0045133865759020945,90.20596889449348,89.10705937353903,92.79454722492697,85.70143884892086,89.93043528870669
2,30,val,15,0.011601493606027568,77.35849056603774,78.94736842105263,93.75,68.18181818181817,80.34090909090908
2,30,train,16,0.004343942778608587,89.07103825136612,88.12785388127855,89.51762523191094,86.78057553956835,88.93093496788993
2,30,val,16,0.017976517947214953,78.30188679245283,78.89908256880734,100.0,65.15151515151516,82.57575757575756
2,30,test,best,0.039940591211672184,64.81481481481481,61.22448979591836,68.18181818181817,55.55555555555556,64.81481481481481
3,31,train,1,0.02670310133111638,61.02195945945946,59.35711140466755,58.813263525305416,59.91111111111111,60.969232144453386
3,31,val,1,0.04420235022059027,47.16981132075472,26.31578947368421,100.0,15.151515151515152,57.57575757575758
3,31,train,2,0.013908174606291828,66.0472972972973,64.79859894921191,63.8481449525453,65.77777777777779,66.03450433538929
3,31,val,2,0.01759701854777786,56.60377358490566,50.0,88.46153846153845,34.84848484848485,63.674242424242436
3,31,train,3,0.010073325055575854,73.18412162162163,71.61376843987483,72.03237410071942,71.2,73.08994368463395
3,31,val,3,0.024224171098673117,59.43396226415094,51.685393258426956,100.0,34.84848484848485,67.42424242424244
3,31,train,4,0.00834513980442205,77.53378378378379,76.58450704225352,75.85004359197907,77.33333333333333,77.5242692410834
3,31,val,4,0.030975069639817724,60.37735849056604,53.333333333333336,100.0,36.36363636363637,68.18181818181819
3,31,train,5,0.00779345231382428,79.22297297297297,77.93721973094172,78.64253393665159,77.24444444444445,79.12906051667113
3,31,val,5,0.025678821329800587,67.9245283018868,65.3061224489796,100.0,48.484848484848484,74.24242424242425
3,31,train,6,0.00709516036550741,79.8141891891892,78.4878487848785,79.48951686417503,77.5111111111111,79.70487172611065
3,31,val,6,0.019666651509842783,70.75471698113208,69.3069306930693,100.0,53.03030303030303,76.51515151515152
3,31,train,7,0.006018205533257207,84.58614864864865,83.56596127870328,84.67153284671532,82.4888888888889,84.48660051845891
3,31,val,7,0.016293777609771153,70.75471698113208,69.3069306930693,100.0,53.03030303030303,76.51515151515152
3,31,train,8,0.005638587181582241,85.26182432432432,84.27219468228932,85.46617915904936,83.11111111111111,85.15973898274784
3,31,val,8,0.014836024000959576,69.81132075471697,68.0,100.0,51.515151515151516,75.75757575757575
3,31,train,9,0.005521046840963331,85.30405405405406,84.19618528610354,86.0724233983287,82.39999999999999,85.16621078037006
3,31,val,9,0.014266972271901256,70.75471698113208,70.47619047619047,94.87179487179486,56.060606060606055,75.53030303030303
3,31,train,10,0.004928001573913403,86.48648648648648,85.7270294380018,86.03401969561325,85.42222222222222,86.435970322696
