test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
29,0.00905,69.67,72.6,63.03,85.6,70.6,0.010395,74.53,77.31,86.79,69.7,76.1,0.111189,83.33,0.0,0.0,0.0,50.0
30,0.010176,65.78,68.67,60.03,80.22,66.67,0.010136,85.85,89.21,84.93,93.94,83.22,0.013734,79.63,78.43,83.33,74.07,79.63
31,0.008873,70.44,64.21,75.57,55.82,69.75,0.010091,63.21,64.22,81.4,53.03,66.52,0.023207,69.23,47.37,37.5,64.29,67.44
32,0.008943,73.18,74.28,67.38,82.75,73.75,0.008124,87.74,90.78,85.33,96.97,84.73,0.127816,66.67,50.0,100.0,33.33,66.67
34,0.009077,71.42,65.18,75.32,57.45,70.52,0.009389,76.42,82.01,78.08,86.36,73.18,0.020512,73.08,78.79,86.67,72.22,73.61
35,0.008977,70.8,73.25,64.23,85.21,71.63,0.008129,83.96,88.11,81.82,95.45,80.23,0.065137,58.33,54.55,37.5,100.0,72.22
36,0.00909,68.83,72.21,62.07,86.32,69.85,0.012951,70.75,75.2,79.66,71.21,70.61,0.023329,54.55,63.41,46.43,100.0,62.5
37,0.009725,67.54,70.79,60.87,84.57,68.64,0.011428,67.92,70.69,82.0,62.12,69.81,0.014719,65.22,64.44,72.5,58.0,65.9
38,0.00982,65.21,70.7,58.6,89.08,66.52,0.009481,83.96,88.44,80.25,98.48,79.24,0.012775,57.14,50.49,48.15,53.06,56.53
39,0.008775,71.08,66.57,73.61,60.76,70.56,0.010711,46.23,27.85,84.62,16.67,55.83,0.017109,66.29,51.61,47.06,57.14,63.82
43,0.008962,68.47,71.47,61.52,85.27,69.63,0.010483,80.19,83.72,85.71,81.82,79.66,0.014001,84.93,87.64,90.7,84.78,84.98
44,0.009398,71.15,73.02,65.64,82.28,71.69,0.008259,83.96,86.82,88.89,84.85,83.67,0.015782,65.48,45.16,60.87,35.9,60.39
45,0.009935,64.64,69.47,57.12,88.63,66.66,0.010248,90.57,92.54,91.18,93.94,89.47,0.020781,68.12,80.0,100.0,66.67,83.33
46,0.008868,71.77,73.29,67.54,80.11,72.04,0.009343,74.53,78.05,84.21,72.73,75.11,0.016636,31.93,40.21,26.03,88.37,50.28
48,0.009364,70.7,72.82,64.11,84.25,71.57,0.008586,83.96,87.41,85.51,89.39,82.2,0.019268,63.57,70.06,60.44,83.33,63.1
49,0.009121,66.24,70.82,59.7,87.04,67.39,0.00753,88.68,91.3,87.5,95.45,86.48,0.012793,65.71,67.27,55.22,86.05,68.83
50,0.010213,66.0,58.03,68.88,50.14,65.07,0.009935,81.13,85.07,83.82,86.36,79.43,0.012344,69.66,58.46,76.0,47.5,67.63
51,0.008883,73.01,75.13,66.08,87.04,73.85,0.013198,66.04,67.27,84.09,56.06,69.28,0.015356,55.81,57.78,52.0,65.0,56.41
52,0.008443,72.18,74.1,66.14,84.23,72.81,0.009622,73.58,77.05,83.93,71.21,74.36,0.011359,62.16,59.62,50.0,73.81,64.44
53,0.008276,74.65,70.37,77.94,64.14,74.04,0.008486,85.85,88.55,89.23,87.88,85.19,0.012089,78.38,78.95,68.18,93.75,80.21
54,0.009281,70.94,66.0,73.63,59.8,70.34,0.015005,47.17,44.0,64.71,33.33,51.67,0.011619,77.57,73.91,68.0,80.95,78.17
55,0.009813,67.29,70.39,60.57,84.02,68.45,0.011643,82.08,85.71,85.07,86.36,80.68,0.014337,81.34,85.71,75.0,100.0,78.81
56,0.009781,67.46,66.87,63.0,71.25,67.73,0.012074,63.21,62.86,84.62,50.0,67.5,0.01437,47.41,31.46,77.78,19.72,55.41
57,0.009802,69.36,65.29,69.23,61.78,68.89,0.00969,83.02,87.5,80.77,95.45,78.98,0.010313,71.31,76.82,64.44,95.08,71.31
58,0.008533,70.09,73.43,62.86,88.27,71.17,0.009713,77.36,81.82,81.82,81.82,75.91,0.006013,91.26,91.43,84.21,100.0,91.82
59,0.009704,69.05,71.61,62.05,84.64,70.18,0.011802,63.21,65.49,78.72,56.06,65.53,0.029274,40.62,57.78,100.0,40.62,50.0
60,0.009399,67.81,71.57,61.33,85.92,68.78,0.01066,79.25,82.81,85.48,80.3,78.9,0.01396,73.91,70.0,58.33,87.5,77.08
61,0.009281,69.29,64.52,70.39,59.55,68.72,0.012094,61.32,59.41,85.71,45.45,66.48,0.022851,59.09,55.74,53.12,58.62,59.04
63,0.009837,68.31,67.15,64.29,70.27,68.46,0.008074,85.85,89.51,83.12,96.97,82.23,0.007292,82.54,87.06,78.72,97.37,78.68
Average,0.00929,69.39,69.79,65.61,76.77,69.86,0.010251,75.57,77.61,83.41,75.5,75.59,0.024482,67.04,62.56,64.08,69.56,68.22
